cloAtm_GNOS.007.C10.13.2024.152.46711.0122.03.0000_bin.ROX

file type: A
DATA_INTEGRETY_OCC_CLO: 100.00%
DATA_INTEGRETY_REF_CLO: 50.99%
DATA_INTEGRETY_OCC_OPE: 89.00%
DATA_INTEGRETY_REF_OPE: 50.50% 

START OF OBS CLO
TIME 2024-05-31 12:58:41.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.360000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.620000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:41.960000 
C13  ['C2I', 'C6I'] 
